"Q", "A", "link"
"SIS mě nechce pustit k zápisu, pořád vidím jen žlutý a modrý pruh na bílém pozadí.", "SIS spadl a prostě musíš počkat. Většinou se tohle stane tehdy, když se zapisují právníci. Ale neboj, asi nejsi sám, komu nefunguje.", "sis-spadl"
"Mají studenti od fakulty/univerzity nárok na nějakou e-mailovou adresu? Pokud jo, jakou?" , "Fakulta ani univerzita sice takovou službu neumožňují, ale, pokud máš přístup do laboratoře, jistě zvládneš vymyslet, jak by se daly unixové přihlašovací údaje využít (například s nápovědou na <a href='http://wiki.ms.mff.cuni.cz/wiki/laborato%C5%99_UNIX#Email'>webu labu</a>).", "email"
"Kde a kdy se žádá o ubytovací stipendium?", "O ubytovací stipendium se žádá ve <a href='http://is.cuni.cz/webapps'>Webapps</a>. Pokud je stipendium přiznáno, tak má člověk zajištěn drobný příjem až do konce akademického roku. Typickým termínem, do kterého je třeba podat žádost je 21. listopad, leden a duben, možnost podávání žádostí se otevírá vždy měsíc předem. Víc informací najdeš třeba na <a href='https://www.cuni.cz/UK-4315.html'>webu univerzity</a> nebo přímo ve <a href='http://is.cuni.cz/webapps/'>Webapps</a>.", "ubytovaci-stipendium-zadost"
"Kdy tak chodí ubytovací stipendium?", "Ubytovací stipendium většinou chodí v průběhu roku ve čtyřech termínech: kolem půlky prosince, na začátku dubna, koncem června a koncem září.", "ubytovaci-stipendium-termin"
"Ukončila jsem teď první semestr, s tím, že se mi nepodařilo získat kredity z programka a lingebry, tedy jsem celkem získala 19 kreditů. Znamená to, že si teď tedy nemůžu zapsat Lineární algebru a geometrii 2 a Programování 2? Nevím jestli je vůbec možné, abych na konci druhého úseku splnila potřebných 45 kreditů pro vstup do druháku.", "Koukali jsme na ty předměty a pro oba je 1 jen prerekvizitou pro zápis 2. Zkus si tedy předměty normálně zapsat v SISu a neměl by to být problém.", "nesplnena-korekvizita"
"Mohl by mi někdo vysvětlit jak si můžu zvolit konkretní sport pro tu tělesnou výchovu?", "Stačí napsat e-mail na KTV či zavolat na sekretariát, mrkni na jejich <a href='http://ktv.mff.cuni.cz/kontakt/'>web</a>.", "vyber-sportu"
"Četla jsem na stránkách, že je potřeba zámek na skříňky na tělocvik. Je to pravda?", "Zámek je potřeba jen MIMO plavání. V ostatních objektech SCUKu je třeba si přinést vlastní visací zámek k uzamčení skříňky! Před příchodem k bazénu jsou zámky půjčovány výměnou za ISIC.", "zamek-scuk"
"Jak moc je vhodné chodit na přednášky/cvičení ostatních kruhů? Do rozvrhu by se mi lépe hodilo, abych chodil na přednášky s druhou paralelkou. Jaké jsou nevýhody vzdálení se od svého kruhu?" , "Určitě je dobré chodit na alespoň nějakou paralelku. Pokud hodláš chodit na cvičení, které je ke stejné přednášce, určitě problém nebude. Dvě paralelky stejné přednášky, obzvlášť, pokud mají různé přednášející, můžou jet ale jiným tempem, takže cvičení k druhé paralelce přednášky by na to nemuselo přesně navazovat.", "paralelka"
"Ahoj, zajímalo by mě, zda si lidé dávají už v prvním semestru nějaké předměty navíc, mimo doporučený průběh studia. Bývá to časté, nebo spíš ojedinělé? Dá se to potom vše zvládat? Díky!", "V prvním semestru je to nedoporučené. Sice ti možná na první pohled přijde, že máš předmětů málo, ale poměrně brzy zjistíš, že to má dobrý důvod – předměty většinou vyžadují i domácí přípravu, na kterou by pak nezbyl čas. Nicméně, určitě si můžeš nějaký zajímavý předmět zapsat. V případě, že se nepokusíš o jeho splnění (nejdeš ani na zápočet ani na zkoušku), můžeš se nechat z předmětu vyškrtnout klidně i na konci zkouškového a máš tak jistotu, že ti nepropadne zápis (každý běžný předmět si totiž můžeš zapsat jen 2x).", "predmet-navic"
"Nevíte z jakých mimofakultních předmětů mi tady na MFF uznají kredity? Třeba zdali dostanu 3 kredity za Polštinu na FSV, nebo to mám brát spíše jako hobby.", "Jako volitelné kredity se ti uznají libovolné, které získáš kdekoliv na celé UK. Fakulta má navíc smlouvu i s fakultami  FJFI, FIT, FEL a FSv ČVUT, takže volitelné kredity si můžeš zapisovat i tam (bude ti uznán libovolný předmět, který nebude hodnocen známkou E (to je něco jako u nás 3).", "kredity-odjinud"
